T_C,0,1,2,3,4,7,10
26,7168.962630412108,7173.585858950078,7169.201611633524,7175.480831289601,7180.497054717653,7177.5623693554935,7185.040710721348
100,7194.781420152713,7193.169017619739,7190.560746319116,7192.416265413053,7195.832724691048,7203.773457962499,7204.961960190867
200,7218.188662594756,7220.880529993373,7225.118869807285,7225.409396444997,7230.605674085448,7234.976808015544,7234.083785802226
300,7250.256966544723,7252.288227226173,7255.056137348895,7254.749113338804,7258.262329329276,7268.040180674192,7265.411928311515
400,7284.127765263978,7285.606119375016,7286.77062599022,7288.35302280521,7292.3146487010545,7288.8811006003025,7298.073811141288
500,7317.6396816048655,7318.88822837786,7318.340227308205,7318.908507302368,7321.403681981314,7331.421736659399,7331.791165219115
600,7350.252348078564,7347.254660153423,7354.015627417927,7351.093719561138,7351.240574849561,7363.906331646926,7366.520770776757
700,7378.775636451696,7378.661158544734,7379.919418295422,7383.123462058803,7378.527879960278,7392.053733487753,7405.370510971759
800,7414.514270942055,7412.120385206091,7418.322640400094,7418.031180976946,7423.462973859568,7425.483885839714,7444.631441359497
