T_C,0,1,2,3,4,7,10
26,7007.674465899628,7005.308289780113,7008.042988190377,7011.090243215186,7006.949464745566,7020.230706081988,7022.646298239902
100,7026.69423901992,7025.548549602832,7028.701604739299,7032.652967436781,7028.24819186979,7031.989597050207,7034.365029652371
200,7053.734673340365,7057.624365148403,7056.551937704503,7058.942337861361,7062.061180142619,7069.234523190601,7065.888543679646
300,7083.661522795215,7091.400384314431,7085.092998356191,7084.182476967208,7087.710864372712,7095.2876636262945,7102.799892590947
400,7107.941373709535,7112.136911407623,7114.594631401947,7120.467547026201,7110.968274852803,7122.624487851984,7130.825484899544
500,7140.191533686342,7141.898643096731,7145.938871960821,7144.5582118644925,7148.828208877186,7156.696096184659,7162.867944861923
600,7172.056560535744,7178.601296360683,7175.96868799749,7175.587225519575,7175.588615030905,7187.467708790855,7184.3404990093495
700,7203.899244739993,7208.575019458577,7204.020999000853,7206.269602489443,7215.120483433873,7215.766959867764,7223.306768190975
800,7236.204111338153,7237.655826270269,7233.4445446560585,7243.174228764778,7243.880955112973,7248.321984912083,7256.3749515208465
